,post_id,title,category,score,num_comments,author,collected_at
62,47723243,Combining spicy foods with mint boosts anti-inflammatory effects 100x or more,sports,87,49,joeax,2026-04-13T09:48:02.333215
63,47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,166,265,tantalor,2026-04-13T09:48:02.333312
64,47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-13T09:48:02.333773
65,47730916,QB64 Tutorial A beginner's introduction to game programming,sports,7,0,AlexeyBrin,2026-04-13T09:48:02.333834
66,47717514,"Inflation Rose to 3.3% in March, Driven by Rising Fuel Costs",sports,63,3,JumpCrisscross,2026-04-13T09:48:02.333863
67,47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,309,192,keepamovin,2026-04-13T09:48:02.333898
68,47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,543,163,akyuu,2026-04-13T09:48:02.334053
69,47738343,The Physics of GPS,science,124,33,maouida,2026-04-13T09:48:04.336534
70,47745543,New metal with triple copper's heat conduction challenges fundamental physics,science,12,1,thunderbong,2026-04-13T09:48:04.336659
72,47728323,Relics of the Heroic Age of Manned Space Flight,science,18,1,zdgeier,2026-04-13T09:48:04.337178
73,47741449,SpaceX holds $603M in Bitcoin despite $5B loss stemming from xAI,science,24,9,lexandstuff,2026-04-13T09:48:04.337215
75,47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,science,131,19,sohkamyung,2026-04-13T09:48:04.337430
76,47704804,How NASA built Artemis II’s fault-tolerant computer,science,630,233,speckx,2026-04-13T09:48:04.337663
77,47708818,Native Instant Space Switching on macOS,science,637,321,PaulHoule,2026-04-13T09:48:04.337738
79,47706141,Research-Driven Agents: When an agent reads before it codes,science,210,54,hopechong,2026-04-13T09:48:04.338603
81,47733222,Show HN: Bitcoin and Quantum Computing – a three-part research series,science,5,1,nvk,2026-04-13T09:48:04.339108
82,47650502,Computational Physics (2nd Edition) (2025),science,184,23,teleforce,2026-04-13T09:48:04.339578
83,47704443,Study found that young adults have grown less hopeful and more angry about AI,science,140,184,elsewhen,2026-04-13T09:48:04.339658
84,47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,29,7,LabsLucas,2026-04-13T09:48:04.339953
86,47742200,Show HN: boringBar – a taskbar-style dock replacement for macOS,entertainment,275,165,a-ve,2026-04-13T09:48:06.340540
87,47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),entertainment,173,36,Rochus,2026-04-13T09:48:06.340679
90,47741393,Textbooks and Methods of Note-Taking in Early Modern Europe (2008),entertainment,34,0,mooreds,2026-04-13T09:48:06.340834
92,47724352,Filing the corners off my MacBooks,entertainment,1365,647,normanvalentine,2026-04-13T09:48:06.340997
95,47733066,New synthesis of astronomical measurements shows Hubble tension is real,entertainment,73,14,anigbrowl,2026-04-13T09:48:06.341351
97,47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,entertainment,153,36,maouida,2026-04-13T09:48:06.341709
98,47699470,The Life and Death of the Book Review,entertainment,30,7,lermontov,2026-04-13T09:48:06.341786
99,47736071,The Universal Standard Book Number,entertainment,13,4,novalis78,2026-04-13T09:48:06.341834
100,47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,entertainment,38,17,olleeolleeollee,2026-04-13T09:48:06.341909
101,47722011,Show HN: A WYSIWYG word processor in Python,entertainment,85,37,chrisecker,2026-04-13T09:48:06.341998
103,47721255,Show HN: Eve – Managed OpenClaw for work,entertainment,71,39,zachdive,2026-04-13T09:48:06.342091
104,47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,172,166,randerson_112,2026-04-13T09:48:06.342185
106,47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,entertainment,139,34,manzt,2026-04-13T09:48:06.342296
107,47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,48,25,behat,2026-04-13T09:48:06.342310
108,47702196,"Show HN: CSS Studio. Design by hand, code by agent",entertainment,171,107,SirHound,2026-04-13T09:48:06.342352
109,47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,122,56,DamnInteresting,2026-04-13T09:48:06.342473
